text,label
"Congratulations! You've won a $1000 gift card. Click here to claim your prize.",1
"Your package has been delivered. Track your shipment with code 123ABC.",0
"URGENT: Your bank account needs verification. Click this link to secure your account.",1
"Meeting reminder: Tomorrow at 10 AM in conference room B.",0
"Hi, how are you? It's been a while since we last talked.",0
"You've been selected for our exclusive investment opportunity with high returns.",1
"Your Netflix subscription is about to expire. Update your payment information now.",1
"Mom: Can you pick up some milk on your way home?",0
"FREE entry to our prize draw. Text STOP to unsubscribe.",1
"Your recent order #45678 has been shipped. Expected delivery: Friday.",0
"WINNER! You have won $5000. Call now to claim your prize!",1
"Good morning! Hope you have a great day ahead.",0
"ALERT: Your PayPal account has been limited. Verify now to restore access.",1
"Reminder: Doctor's appointment tomorrow at 2 PM.",0
"Hey, are we still on for dinner tonight?",0
"Congratulations! You are the lucky winner of our lottery. Claim your $1M prize now!",1
"Your Amazon order is out for delivery. Track it here.",0
"URGENT SECURITY ALERT: Your email account will be suspended. Click to verify.",1
"Thanks for your recent purchase. Your receipt is attached.",0
"Hi Sarah, can you send me the project report by EOD?",0
"You've been selected for a FREE vacation! Book now and save 50%!",1
"Package update: Your item has been delivered to the front door.",0
"WARNING: Your computer is infected with virus. Download antivirus software now.",1
"Team meeting scheduled for 3 PM today. Please join on time.",0
"What's up? Long time no see!",0
"EXCLUSIVE OFFER: Get 90% off on all products. Limited time only!",1
"Your flight confirmation: Flight AA123 departs at 8 AM.",0
"SECURITY BREACH: Your account has been hacked. Change password immediately.",1
"Dear customer, your warranty is about to expire. Renew now.",1
"Hello, this is a reminder for your dental appointment next week.",0
"Let's catch up over coffee this weekend?",0
"MEGA SALE: Buy one get one free on all electronics!",1
"Payment received: Thank you for your subscription renewal.",0
"ATTENTION: Your credit card has been charged $999. Dispute now if not authorized.",1
"Project deadline extended to next Friday.",0
"How was your weekend?",0
"WIN BIG: Play our casino games and win real money!",1
"Order confirmation: Your pizza will be delivered in 30 minutes.",0
"ACCOUNT SUSPENDED: Verify your identity to restore access.",1
"Meeting notes from today's discussion are attached.",0
"See you at the party tonight!",0
"GUARANTEED: Make $5000 per week from home! No experience needed.",1
"Your test results are ready. Please login to view.",0
"EMERGENCY: Your account security has been compromised.",1
"Invoice for services rendered. Payment due in 30 days.",0
"What's your plan for the holidays?",0
"DOUBLE YOUR MONEY: Invest in our cryptocurrency now!",1
"Appointment confirmed: See you on Wednesday at 10 AM.",0
"FINAL NOTICE: Your account will be closed if payment not received.",1
"Report submitted successfully. Thank you for your work.",0
"Movie night at my place? Bring popcorn!",0
"MAKE MONEY FAST: Start your own business with our proven system!",1
"Delivery scheduled for tomorrow between 9 AM and 12 PM.",0
"URGENT: Action required to prevent account closure.",1
"Thank you for your feedback on our service.",0
"Planning a trip? Check out these amazing deals!",1
"Your prescription is ready for pickup at the pharmacy.",0
"SECURITY UPDATE: Confirm your email address to continue.",1
"Quarterly report is now available in the shared drive.",0
"Coffee break?",0
"WIN A CAR: Enter our sweepstakes now!",1
"Order shipped: Tracking number is 1Z999AA1234567890.",0
"ACCOUNT LOCKED: Verify your information to unlock.",1
"Meeting agenda for tomorrow's call attached.",0
"Have a great evening!",0
"GET RICH QUICK: Our system guarantees profits!",1
"Your application has been received. We'll be in touch soon.",0
"FINAL WARNING: Your subscription expires today.",1
"Code review completed. Changes approved.",0
"Weekend plans?",0
"LUCKY DRAW: You could win $10,000! Enter now!",1
"Payment processed successfully. Receipt attached.",0
"ACCOUNT COMPROMISED: Change password immediately.",1
"Project status update: On track for delivery.",0
"Talk soon!",0
"INVEST NOW: High returns guaranteed on our stocks!",1
"Your reservation is confirmed. See you soon!",0
"LAST CHANCE: Renew your membership before it's too late.",1
"Documentation updated with latest changes.",0
"Enjoy your day!",0
"MAKE $1000/DAY: Work from home with our program!",1
"Order delivered successfully. Thank you for shopping with us.",0
"SECURITY ALERT: Unusual activity detected on your account.",1
"Weekly summary report attached.",0
"Stay safe!",0
"BONUS OFFER: Double points on all purchases today!",1
"Your ticket is confirmed. Event details attached.",0
"ACCOUNT VERIFICATION: Please confirm your details.",1
"Task completed. Moving to next item.",0
"Hello there!",0
"WIN BIG: Lottery ticket could make you a millionaire!",1
"Shipment delayed due to weather. New ETA: Friday.",0
"IMPORTANT: Update your billing information.",1
"Progress report: 75% complete.",0
"Take care!",0
"SPECIAL PROMOTION: 80% off everything!",1
"Your request has been processed.",0
"SECURITY CHECK: Verify your account to continue.",1
"Meeting minutes from today's session.",0
"Best regards,",0
"GET PAID: Earn money by taking surveys!",1
"Order canceled as requested.",0
"URGENT: Your payment is overdue.",1
"File uploaded successfully.",0
"Cheers!",0
"LUCKY WINNER: You've won our grand prize!",1
"Your balance is $150.00. Statement attached.",0
"ACCOUNT ISSUE: Please resolve immediately.",1
"Database backup completed.",0
"Have fun!",0
"AMAZING DEAL: Save 90% on luxury items!",1
"Appointment rescheduled to next Tuesday.",0
"FINAL REMINDER: Payment due today.",1
"Code deployed to production.",0
"See you around!",0
"WORK FROM HOME: Make $5000/month guaranteed!",1
"Your refund has been processed.",0
"SECURITY BREACH: Account access restricted.",1
"Report generated successfully.",0
"Nice to meet you!",0
"WIN A HOUSE: Enter our real estate giveaway!",1
"Order status: Processing.",0
"ACCOUNT WARNING: Suspicious activity detected.",1
"System maintenance completed.",0
"Goodbye for now!",0
"GET WEALTHY: Our investment plan is foolproof!",1
"Your subscription has been renewed.",0
"URGENT ACTION: Verify your identity now.",1
"Backup created successfully.",0
"Take it easy!",0
"PRIZE ALERT: You are our lucky winner!",1
"Order confirmed. Thank you!",0
"SECURITY NOTICE: Account may be compromised.",1
"Update completed.",0
"Until next time!",0
"MAKE MILLIONS: Join our trading program!",1
"Your package is on the way.",0
